number,네이버 장점,네이버 단점,카카오 장점,카카오 단점,라인 장점,라인 단점,쿠팡 장점,쿠팡 단점,배민 장점,배민 단점,페이스북 장점,페이스북 단점,아마존 장점,아마존 단점,애플 장점,애플 단점,넷플릭스 장점,넷플릭스 단점,구글 장점,구글 단점
34,"개인 의견을 존중하는 조직문화, 보편 타당한 복지 정책, 대기업 점조직 프로세스 경험","각개전투의 외롭움, 과거 팀웤의 그리움, 수평을 추구하는 수직구조 체계","워라벨이 보장되고, 네임벨류 회사라서 주변에서 부러워함",임원진들이 왜 존재하는지 모르겠음. 팀마다 분위기 차이가 있음,"재택근무가 좋습니다.
상대적으로 젊은 회사라 젊은이들 비율이 높습니다.","재택을 주로 하므로 입사 초반 적응하기 쉽지 않을수 있습니다.
일본 야후와 합병으로 일본쪽이
크게 개편중이라 조직구성이나 역할등 당분간 혼란이 있을수 있습니다.",자유로운 스마트오피스 사용 및 근무를 위한 시원한 지원,사업 성장을 위해 달리는것은 알겠으나 아랫사람들만 너무 쥐어짜내는듯한 느낌,"재택근무,복지포인트 등 복지가 잘 되어 있고 사무실이 예쁘다",사라져가는 배민다움에 대해 강요하는게 힘들었음..파워e성향이면 너무 잘 맞겠지만 아닌 사람들은 좀 버거운 분위기,"수평적인 문화
개인의 삶을 존중
보상이 확실함
식사무료제공","딱히 나쁜점을 찾을 수가 없음

이직할만한 회사가 구글밖에 없음",주변에 우수한 동료들이 많음. 기업문화가 그래서 그런 사람들이 배려심이 많고 착함. 복리후생 나쁘지 않음.,다들 넘 열정적이고 일을 사랑해서 나처럼 그냥 회사는 돈버는곳에 지나지 않다는 마인드의 사람은 살짝 안맞을 수 있음.,"경험하지 못 했던 일을 할 수 있고 보지 못 했던 세계를 볼 수 있다
시야가 넓어지려면 넓어질 수 있다

사람들이 나이스하고 수준 있는 편이다","대부분 사람들이 공무원 같다
같이 일하려고 하면 다 미루던지 남한테 던지기 한다","능력있는 동료들이 적극적으로 협업하는 문화. 대부분의 직원들이 타 부서의 일도 어떻게하면 도움을 줄 수 있을지 먼저 고민하고 알려준다. 각 분야의 전문가들이 사내에 잔뜩 있어서 생각지도 못한 부분에서도 도움을 주고 받는다.

팀과 업무가 아주 세분화되어 쪼개져 있어서 그 분야의 전문가가 될 수 있다.

업계 최고 수준의 연봉은 의심의 여지가 없다. 업무 환경도 최고. 사무실 환경만을 담당하는 팀이 따로 있어서 식음료, 인테리어, 비품 등을 엄청나게 세세하게 챙긴다.","최고들이 모였기에 나 또한 최고의 퍼포먼스를 내야한다는 압박감이 든다. 중간만 하자는 존버마인드로는 절대 다닐 수 없는 곳.

의사결정과정이 탑다운은 아니지만, 엮인 수많은 부서들과 함께 논의해야하는 경우가 많아 의외로 시간이 걸리기도 한다.","문화를 항상 강조
구글 다닌다고 하면 사람들이 다 다르게 봐줌
알면 알수록 재미있는 점들이 많다","알면 알수록 복잡해지기도 한다
밥을 너무 많이 먹게된다"
35,"능력자가 많음
풀재택 유지중(2023)
다양한 기회(occ)","능력자들이 언제 나갈지 전전긍긍.
재택근무가 언제 끝날지 모름.
부바부 상당히 심함.","우리나라 메신저 업계1위 그 누구도 넘 볼 수 없다
나는 1위기업에 다닌다","연봉이 아주 만족스럽고 사내 복지가 너무 좋다
단지 이제 배가 침몰하나 싶기도하다","재택근무 때문에 이직을 못 하겠음
급여와 보상도 만족하고 있음
사람을 통해서 받는 스트레스가 줄어듬","재택이지만 업무량은 재택전보다 많음
하지만 출퇴근이 없으니 재택이라서 덜 피곤함
사람을 만나면서 에너지를 얻는 사람은 힘들어함",부바부이지만 실적을 인정해주는 매니저의 존재와 으쌰으쌰하는 팀 분위기,복지가 약하며 대기업 반열에 들어선만큼 복지부분이 확충되야함,"주32 근무시간
아직은 근무지 자율 선택가능
비포괄임금","본사 압박으로 이윤에만 매달리는 회사 분위기
마이크로 매니징하는 경영진
고인물 중간 매니저급들 역량 미달",복지와 연봉과 워크앤라이프 밸런스가 보장되는 회사입니다.,한국 조직의 규모적 한계 때문에 조직이 작고 펑션이 많지 않다,"국내 최다 클라우드 인력 보유
기술인력은 경쟁사 대비 더 기술업무에 집중할 수 있음","매니저 경험이 없는 매니저가 많음 좌충우돌
하지만 점점 매니저 중심 회사가 되어가는 듯 눈치가 필요해","어찌됐든 세계 최고회사. 세계 최초/최고 제품 양산을 위한 노력.
천재라고 느껴지는 동료로 부터 많은것을 배울 수 있고 전세계 다양한 인종, 유형의 사람을 만날 수 있음.","국내 소수 인원으로 국내 최대의 대기업들을 이끌어가야하는데 물리적으로 힘든 경우가 많음.
워라벨x","회사에 한명씩 있는, '일 잘하는데 나이스하기까지 한 브레인'으로만 구성된 듯한 곳. 탑 다운식의 의사결정이 없음. 맡고 있는 담당자의 권한이 크고, 그렇기에 책임감이 커서 더 좋은 결과가 나오는 곳. 무슨 일을 하던지 context가 중요한 곳. '그냥 하라니까 하는거지' 라는 의사결정이 존재하지 않음

그래서 이런 문화에 맞고 주체적으로 일하는 사람들에겐 역량을 마음껏 펼칠 수 있는 곳 임. 복잡한 절차나 예산, 다른 팀 눈치보기 등으로 인해 힘뺄일 없음!","가면 증후군에 빠질 수 있음 (나는 별거 없는데 들키면 어떡하지..하는 불안감)
어디서나 업무를 할 수 있게 되있어서 시간 관리 잘 못하면 워라벨 무너짐 (일이 많고 다들 빠르게 하기도 함)","직장동료로부터 많은 것을 배울 수 있는 회사
높은 보수","엘레베이터등 건물의 노후
사람에 비해 좁은 사무실
영어 스트레스"
36,"회사 사옥이 일할맛이 난다
동료들 수준이 높다
욕심만큼 배울수있다
개인의 성장은 보장된다
여기 다음직장은 잘가는 경우가 많다(특히 연봉업)","정치판이다
부서잘못걸리면 일겁나 많다
경영진의 생각이 곧 쥬쥬의 생각","자유로운 출퇴근 문화, 서로 존중하는 커뮤니케이션, 판교역과의 접근성",체계가 전혀 없고 신규 입사자를 위한 조직별 가이드가 너무 다르다. 사수라는 개념이 없어서 일을 보고 배울 수가 없는 구조,"재택
좋은 동료들
다양한 기술을 접할 수 있음
만족스러운 급여","c레벨 경영진
언제든 업무 대응 필요
팀원들과 친해지기 어려움","잠실역과 아주 가까운 접근성 더불어 체계적인 신규입사자를 위한 교육
아침저녁 무료제공 점심 저렴한 가격인 4500원
커피머신 물 얼음 무한 제공 자판기 음료수 300원",선임? 개념없이 동료들에게 의지해서 일을 배워야하는게 아쉽더,"직원의 복지는 최고인듯
연봉도 업계중 상위에 해당
사내문화도 좋음",본인만 성과를 내주면 가족들은 복지혜택을 누릴 수 있음,회사 혜택 및 대우가 정말 좋은 편. 바교적 승진 기회 등도 있는 편,생각보다 타 동종업계 회사 대비 워라밸이 안좋은게 단점.,훌륭한 동료들이 상대적으로 많습니다. 물론 여기도 답답한 분들 많고 게으른 분도 계시지만 이전 직장 대비 훌륭한 분들의 비중이 훨씬 높습니다. 훌륭한 동료가 곧 복지죠.,좋지 않은 워라밸로 유명하지만 특정 직군은 더더욱 지옥을 맛볼 수 있습니다! 특히 ML 관련 업무하는 몇몇 분들은 GenAI 대응하느라 주말 밤낮 안 가리고 주 100시간 이상 일하는 것 같습니다.,"여러 사람들 만나면서 보는 시야를 넓힐 수 있음
웃으면서 일할 수 있는 직장임
성숙한 피드백 문화","성숙한 피드백을 하는 사람도 있고 못하거나 안하는 사람도 있었음
리더쉽에 따라 매장 분위기 달라짐
가끔 저 사람이 어떻게 저 위치에 있을까 라는 생각이 드는 사람도 많음
돈 바라보고 오면 안됨 대신 실력을 검증하면 인정받는걸로 보임","자유로운 분위기
근태 신경쓰는 사람 없음
나 할 일만 하면 아무 문제 없음
꼰대없음
업계 최고 경력, 능력의 동료들","일이 많다, 이래도 되나 싶게 많다
회사가 커지면서 조금씩 생기는 균열?","커리어 성장의 기회
좋은 리더와 일해볼 수 있는 기회
성장하는 산업",본인보다 뛰어난 많은 동료들로 인해 때로 스트레스를 받을 수도 있음
37,사옥이 좋음 부모님이 어디가서 자랑스러워 함 나름 프라이드가 있음,"워라밸이 썩 좋은 편은 아님
그걸 당연히 여기는 문화가 있음","복지가 좋고 워라벨이 보장되는 곳.
재택 근무가 가능해 좋았다.
동료와 으쌰으쌰하는 분위기가 좋았다.","회사가 점점 기우는 느낌,
직원을 위한 제도를 점점 줄이는 느낌이었다.","재택근무 가능하고 복지도 좋은 편
원한다면 시차 제한하에 해외리모트도 가능함","수직적인 분위기와 개인주의?
디자인 에이전시와 다를 것이 없는 분위기",베이스는 아니지만 tc보상은 다른 회사에 비해 경쟁력이 있음,"보상외에 장점을 찾아 보기가 어려움
비효율적인 업무 진행이 많고, 탑다운 문화가 강함","비포괄, 뛰어난 동료, 재택, 배민 브랜드, 다양한 복지","잦은 의사결정 반복 및 이해 안가는 체계, 그 외 일이 많다","열심히 한다면 매니저 레벨까지(E6) 빠른 승진이 가능
입사후 약 2달간의 부트캠프를 통해 원하는 팀을 고를 수 있는점
매우 좋은 급여와 보너스. 리프레셔를 통해 4년이후에도 금여가 깍이지 않는다
똑똑한 팀원들과 리더들
메타버스(metaverse)에 선두에 있는 회사. 앞으로 5 - 10년 안으로 새로운 방식의 인터넷세상을 여는데 역량을 집중하고 있음","페이스북에서 일한다는 걸 공개하기 꺼려 질때가 있다. (구글의 경우와는 상반되는 반응들)
회사 가치중 하나인 Move Fast 에 충실한 회사. 코드 퀄리티가 희생되는 경우가 많다.
이메일이 아닌 채팅과 workplace(사내 페이스북) 으로 이뤄지는 커뮤니케이션. 빨라서 효율적이지만, 반대로 이걸 때문에 집중이 분산되는 경우가 많다. 본인이 스스로 boundary를 잘 설정해야 한다.
반년마다 있는 PSC(고과심사)에 스트레스가 심하고 일이 많아서 주말에 일해야 하는 경우도 있음
승진은 빠른대신에 E5 시니어 레벨 부터는 정치 싸움도 잘해야 한다.","좋은 동료가 많음 그래서 사람들에게 배우는 점이 많음
하고자 하는 일이 있으면 오너십 갖고 할 수 있음
좋은 사무실
괜찮았던 연봉","워라밸은 없음 동료들 다 아픔
팀바팀이겠지만 리더십 엉망 (동료한테 배우지 리더십한테는 기대 X 특히 요즘 더)
주가때문에 연봉 올라도 제자리","생각없이 일하면 좋음
야근없음
애플제품 할인받을 수 있음","리더십에 따라 스토어 분위기가 너무 다름
연령층이 너무 다양해서 가끔 회사가 아닌 학교같은 느낌
어른스럽고 좋은 직원들도 많지만 아닌 직원들이 더 많다
여기서 성공하려면 이직 혹은 진짜 이 악물고 여우짓해야 성공할 수 있음","모든 임직원이 한 명도 빠짐없이 서로가 서로를 끌어주고 밀어주는 분위기
말 그대로 일에 몰입할수 있는 '최상, 최고의 환경'이 무엇인지 이 회사를 와서 알 수 있었음
귀감이 되는 동료들의 경쟁력, 역량, 에너지레벨
경쟁 의식이 존재하지 않는, 우리 모두 함께가 만연한 분위기
너무나 맛있는 아침 점심 저녁 간식 (그냥 미쳤다)
다른 곳에서는 '어려울 수 있는', '승인 절차가 너무 많은' '일을 위한 일' '비효율적' '정보 제한' 등을 쏙 빼고 좋은 액기스만 남겨놓은 느낌
매일 매일 나만 잘하면되가 느껴지는 (좋은 의미) - 능동적, 주체적으로 탈바꿈하는 나를 볼 수 있음","아 아직 정말 없네요...물론 정말 최고의 동료들과 함께한다는 자부심에서 오는 부담감 속에 '과연 나도 그런 사람인가' 또는 '킵업할수 있을까'란 걱정이 종종 들지만, 모두가 도와주고 끌어주는 이 곳...ㅠㅠ(감동)","좋은면만 보려고 하면 좋아보임
겉으로는 서로 하하호호 나이스
회사 밥이 그나마 잘 나오는 편","정치질
알수없는 주관적인 승진 체계
서로 밀어주기
어디나 똑같지만 징징거리고 목소리큰놈만 챙겨주고 실제로 필요한 일 너무 바쁘게 하고있음 정작 아무도 몰라줌. 내부에서 쇼잉하고 별거 아니어도 자랑할 프로젝트 많이 하는게 유리함.
의견들이 너무 많음"
38,급여는 좋고 일하는 환경도 나쁘지는 않음. 커리어 만들어가기에도 좋은 회사,"워라벨은 팀 멤버별로 다 다름. 하는 사람들만 열심히
하는 환경","복지는 말할 것도 없이 최고. 구내식당도 나름 맛있고 안마, 사내카페, 무료 간식 등 챙겨주는게 많다. 판교역과 바로 연결돼 편리하게 이동할 수 있다. 수평적 조직문화로 팀원들과 편안한 관계 구축이 가능하다.",팀마다 다르겠지만 내가 지금 하고있는 게 어디로 가서 어떻게 쓰였는지 알 수 없다. 묘하게 자기 사람만 챙기는 느낌이다.,말 많고 특히 합병때매 어수선하지만 그래도 막상 한국에서 이직하려고 하면 딱히 라인대신 갈만한 곳이 없다.,케바케이지만 상상을 초월하는 업무량과 한국 공휴일보다 일본 공휴일이 기다려지는…,"재택 편함
아직은 재택근무로 재직중인데, 언제 잘릴지모름","꼽줌
정해진 만큼 을 못한다 기 보다, 누가더 많은 양을 처리하냐 에 따라 승진률 다름","복지, 급여, 모든 측면에서 최고... 잘 챙겨주려고 노력함",워라벨이 망가짐.. 주 4.5제인데 6일치는 일함,"유연한 근무제
팀워크 방식
성과 고과 제도
능력있는 동료들",딱히 없어서 현재로도 만족한다. 앞으로의 발전이 기대됨,"압도적인 평판, 압도적인 팀원들, 찢어지는 듯한 성장. 괜찮은 보상",워라벨. 내로라하는 팀원들 사이에서 차별화된 성과를 내기가 어려움,"직원할인 안과비용지원 등 복지 나쁘지않음
프리랜서나 투잡러는 스케쥴 근무 나쁘지않을듯
사람들이 다 젊고 밝음","젊은 사람들이 모여있으니 말도 탈도 많음
서서 일하고 계속 말해야하니 신체적으로 힘듦
승진 어려움
커리어 꼬일수도 있음","문화가 선진적,문화를 발전 유지시키기위해 늘 노력하고있음",일이 너무 많고 속도감이 빠르다보니 어디서나 언제나 일을 하고있음,다른 나라 Google 코리아 보단 문화가 확실히 더 한국스러움. 하지만 이름으로 좋은 회사. 간식도 많고 카페도 공짜로 이용할 수 있고 위치도 좋은 회사.,작은 점. 희한하게 Google 코리아는 사람들이 덜 친절한 느낌이 들었음.
39,"재택가능 , 감시없음 , 일하고싶을때 일하기 가능함
밥 3끼 무료 제공","일하는사람만 일하고 평가에 투명성이 없다
객관적인 평가가없음 주관적",다른 회사에 비해 확실히 수평적인 분위기. 주도적인 업무 진행이 가능함.,업무 중요도에 비해 보상이 업계 대비 많이 낮은 편. 연봉 인상률이나 성과급이 아쉬움.,같은 동료들 수준이 매우 높아서 엄청 도움이 많이 됐다,이제는 일본 기업? 합병하고 난 뒤에는 산으로 가는 느낌,"좋았던 점이 딱히 생각나지 않음.
동료들은 유능하고 좋은 회사에서 넘어왔지만 그들에게 뭔가를 배울 수는 없는 환경",같은 레벨에도 연봉차이가 심하고 업무 분장 기준이 모호함. 많이 받는사람이 적게일하고 적게 받는 사람이 많이 일함. 일종의 챌린지인지? 말할 수 있는 복지고 없음,재택근무랑 복지가 정말 가장큰 장점인거같네요.. 그리고 쾌적한 사무실,"워라벨 제로…일처내기식 업무와 너무많은 업무량
야근안하면 일없다고 생각하는 분위기","복지 문화/ 배울 것 많은 동료들.
가끔씩 마크가 주는 특별 휴가",장점이자 단점인 자율성. 끊임없이 성과를 증명하는 것…..제한된 인원,"LP에 따라 움직임
내 일 내가 정해서 함
재택근무가능","일이 너무 힘듬
비용청구 딱히 제한 없는 것으로 보였으나 최근에 너무 긴축",좋은 사람들이 더 많고 팀바팀이긴 하지만 대략 처우나 워라밸은 좋습니다.,"팀별 차이가 크겠지만, 자기 커리어 개발의 기회가 별로 없고 도태되는 기분임. 업무 자체가 매우 세분화 되어 있고 서로 유기적으로 연결되어있어서 작은 변화인데도 허들갑이 심함. 매니저의 권한이 지나치게 세기 때문에 매니저 뽑기가 흡족하지 않은 경우 커리어도 꼬임.","능력 개발, 자아 실현, 커리어 관리 등 모든 면에서 최고의 선택",아무도 일을 시키지 않는다. 시키는 일 받아서 하는 것이 익숙하다면 버티기 힘들것,"레퓨테이션, 좋은 조직문화, 동료, 리더, 나쁘지 않은 보상",시간이 흐르며 조직이 커지며 자리를 잡아가며 정형화 될수록 흐려져만 가는 구글리니스
40,"복지가 좋아요
재택유지중이고
팀분위기도 좋습니다
사내 기술공유도 활발해요","일이 많아요
조직분위기도 팀바팀이 심합니다
약간의 개인주의","복지가 좋음
시설이 좋음
지인들한테 말하면 오~해서 뽕참","대기업 특유의 비효율성이 존재하긴 하는 듯함
사람이 많다….혼잡함","재택이 가능해서 너무 좋음, 회사 근무 환경도 좋아서 가끔 회사 갈 맛이 남. 일이 많이 없어서 널널함","팀원끼리 별로 안 친함.. 밥 먹을 때 조금 어색한 정도..장표 찍는 일이 많음, 디자인이 중요함","한강뷰, 똑똑한 직원들이 많고, 일이 진짜 많아서 커리어적으로 성장할 수 있는 기회가있음",복지가 너무 구리고 공채문화가 아니다보니 그냥 각자도생 그자체임.. 그리고 근속연수 한 3년정도되는듯..,급여와 32시간 근무제. 근무지 자율도 장점. 내년부터 주1~2회로 변경되나 타사보다 여유롭다 생각,asap인 과제가 많음. 최근 들어 구성원 내 분위기가 예전같지 않음.,"흥미롭고 다양한 프로젝트로, 자신의 역량을 긍정적으로 키울 수 있다.","다만, IT 기업으로 모든 퍼포먼스는 수치화되고 똑똑한 동료들을 따라가기 버겁다",인재상에 맞춘 업무 문화가 잘되어있습니다. 체계와 철학이 뛰어난 회사,개인의 퍼포먼스가 중요. 혹은 팀 협력이 다소 부족할 수 있습니다,"스마트한 사람들이 모여있고 크게
사람으로 힘들거나 한 곳은 아님. 존버하려면 좋은
회사. 개인주의 성향이면 다니기
편함.","커리어 발전에 있어서는 의문. 팀바팀, 사바사이겠지만 보편적으로 다들 물음표인 부분인 것 같음. 어느 회사나 다 있는 내부 정치도 존재함.","자유로운 분위기 속에 서로 배려하는 문화
직원들의 컨디션을 잘 챙겨줌
지속적으로 좋은 환경을 만들기 위해 노력
좋지 못한 일이 있으면 바로 피드백이 나오고 고치는 것에 집중
알아서 일만 잘하면 됨","스스로 시간관리 못하면 워라벨이 깨지기 매우 쉬움
빠른 속도의 변화가 일반적, 적응하지 못하면 바로 뒤쳐짐
발전적이지 못하면 스트레스를 많이 받을 수 있음","식사(밥 너무 맛있음)
능력있는 동료들 서로에게존중하는분위기
복지
자유로운분위기","체계없음 자유로운분위기의 반대급부
중구난방 회사 정책이 수시로바뀜
성과압박
쇼
영어"
41,"주니어가 성장하기 좋은 회사라고 생각합니다!
팀원분들 모두 실력이 어마어마 합니다","진리의 부바부 팀바팀
나와 맞는 사람 안맞는 사람 어디에나 있다!
팀이 잘 걸려야 됨",배울 점이 많고 할 일도 다양해서 이력서 자체가 빵빵해지는 느낌,"다들 알다시피 악화되는 경영진, 언론에서의 타겟으로 찍힌 거 같음.","네임벨류, 그에 맞는 보상 그리고 업무 문화
비교적 합리적인 의사결정","일이 너무 많다
일본과의 의사소통이 답답
잦은 인사이동","사람들이 친절하고 모난사람은 딱히안보이고 급여도적당하고
짜잘한복지가있음","체계가없고 복지가 없다
급여자체는 그렇게 낮지 않은데 현금성복지가 거의 전무하여 아쉽다.
잠실오피스 카페 베이커리가 빨리소진된다.
엘레베이터가 극혐이다.","재택 짜릿, 복지포인트 200만원, 휴가 코웍 사용만으로 하루 전체 쉬기 쌉가능",회사 보다 같이 일하는 구성원들의 단점을 적어보자면 답장이 너무 느림 진짜 뭐하느라 답장을 안하는지 모르겠음 그리고 소수의 사람은 월루인듯,"워라밸 이정도면 최고
샐러리.이정도면 갠춘
아직 먹어줌","5년후가 잘 안보임…..
인스타그램 의존도
디렉터급 안습",다양한 업무를 원하는 만큼 성장하는 회사에서 할 수 있음,과도한 업무량과 계속해서 잘해야하는 압박감. 정치도 심해짐,"조금은 직원을 위한다는 생각이 들어요
애기가 있다면 좋은 곳인거 같아요","아무래도 커리어 부분이 조금 고민 되는 부분입니다.
다음 스텝을 어디로 갈지","귀감이 되는 동료들의 열정과 뛰어난 능력
세세한 디테일까지 신경쓴 것이 느껴지는 오피스 환경
높은 연봉
분야의 전문가로 믿어주며 부여되는 책임과 권한",회사의 컬처핏과 맞지 않다면 힘들어 할 수 있겠지만 인터뷰 과정 중 컬처에 대한 충분한 대화가 이루어짐,"나만 열심히 효율적으로 잘하면 되는 문화
괜찮은 보수
유연하고 합리적인 문화","Peer pressure와 성과압박
조금 외로움"
42,"재택, 유연근무 등 업무와 관련한 복지가 좋은 것 같음",아직까지는 크게 없음. 부서 사람들 좋아서 만족스러워요.,"복지, 수평문화, 근무환경은 부서마다 다르겠지만 적응하기 좋음",수평적이나 수직적임. 어느 곳이나 마찬가지겠지만 실용적인 방법보다 보수적인 느낌이 강함,"챙겨줄 때는 알아서 잘챙겨줌
팀바팀이지만 조직문화가 수평적이고 매우 합리적임","근무가 매우 빡셈..
일이 너무 많음..
야근이 잦음.","재택근무, 업계대비 적당히 높은 연봉, 그 외엔 없다.","일에 치여살고 워라밸은 포기해야 함. 단순히 일 많은게 아니라 알려주는 사람 하나 없으면서 매일 이리치이고 저리치이는게 일상.
잡혀있는 체계가 1도 없음. 부바부겠지만 대부분 사람들도 예민해서 그런지 날 서 있는 사람이 많음. 착한 사람도 여유가 없어지게 만드는 곳.
재택근무라는 장점 하나 빼고 나머지 다 단점. 말만 수평문화지 레벨 제도가 있어 더 굳건한 수직적인 문화.
사람 자주 뽑고 근속연수가 짧은 이유가 다 있음.
채용 공고 많이 올라온다고 지원하지 말고 한번 더 생각해보시길 바랍니다.",피플팀이 직원을 챙겨주고 있습니다. 직원을 위한 복지가 잘되어있어요,"워라밸은 서비스마다 달라서 워라밸 생각하고 들어오시면 안될거 같아요. 성장을 위해서 일이 엄청 많습니다.
배려가 부족한 사람들이 몇몇있습니다.",한국 회사들과 비교되는 플랫폼과 규모를 경험하 볼수 있습니다.,업무 강도가 높습니다. 분기별로 있는 평가가 빡세요..,"전문직빼고 정유사나 증권사 다닐게 못되면 aws가 최고
연봉, 복지, 발전가능성 모두 만족",사람이 많아지다보니 똥파리도 꼬이기시작해 잘 거르는능력이 필요,"터치없는 자율출퇴근
선택적 재택근무
1개월동안 타국가에서 근무 가능
높은 연봉 리프레셔 보너스 rsu","직위에 걸맞는 책임
영어소통
극단적 개인주의로 소통이 힘듦","무엇보다 너무나 똑똑하고 헌신적인 동료들
업계 내 최고 대우
근태라는 개념이 없음. 자기 일만 잘하면 됨
agility","컬쳐가 맞지 않는 사람들에게는 힘들수도. 피드백, 캡틴시 문화 등이 self-starter가 아니면 어렵다",복지가 좋아요 급여도 개인적으로는 불만족이지만 동료들은 만족함,"경쟁이 심하고 노조가 없어서 불편할때가 있습니다
그거외에는 만족"
43,최고의 복지는 역시 동료들. 다같이 성장하려고 하는 문화. 팀바팀이라고는 함,딱히 느낄 단점은 없음 정말. 팀바팀일 것 같으나 대체로 분위기 좋음,"수평적인 문화, 원활한 소통
사옥이 깨끗하고 좋음
복지가 많음","방향성 없는 경영으로 인해 비전이 자주 바뀜
근무제가 자주 바뀌어서 혼란","리모트 워크 최고!!
경영진이 직원들을 믿어주는 분위기","업무량 많은 편
회의가 많고 비효율적인 의사소통 빈번함","개발, 디자인 팀의 산출물과 agile 시스템 활용도가 매우 높음 (직전 회사가 시리즈B 스타트업이라 체감하는 속도/시스템의 효용이 유독 더 크게 느껴지는 걸 수도 있음)
의사결정이 빠르고 팀 내부 커뮤니케이션이 원활함","리더십에는 외국인들이 많고, 현업에는 한국인들 뿐이라 두 언어를 모두 유창하게 구사해야 커뮤니케이션에서 놓치는 부분이 없음",다양한 업무를 접해볼 기회가 많음. 그 속에서 커리어 성장도 꾀할수있음. 그리고 사람들이 다들 좋아서 사람 스트레스 받은 적은 없었음.,최근 IT 업계의 추세에 따라 복지를 줄이고 경영진이 단방향 소통을 하고자 하는게 느껴짐.,"배움, 진취적 문화, 함께 일하는 사람들이 좋음. 서로 배울것이 있는 사람들",무능력한 경영진으로 최근 조직문화는 많이 안좋음. 나태함 팽배,"세계 최고의 회사를 다닌다는 자부심
아마존이기에 갑질할 수 있음","인당 100을 해야하며 업무 과중이 심함
개인의 성장이 제한됌
복지랄게 없음","탄탄한 회사 구조와 좋은 회사 분위기.
대부분 애사심이 높고 열정적이다.
나름 수평구조라 자기의 의견및 피드백을 편하게 애기 할 수 있는 회사.
적당한 업무량으로 워라벨 또한 챙길 수 있다.
회식-없음 (선택사항)
초과 근무-없음(본인선택)
휴가(본인이 원할때-단, 선착순)

무엇보다 과장 조금 보태서, 큰 사고만 치지 않으면 나갈 일 없는 공무원 같은 직장.","업무분담이 잘 되어 있어서 장점이자 단점.
내게 주어진 일외에 다른 경험을 접할 기회가 극히 드물다.

승진및 커리어 성장? 글쎄... 애플 코리아에서는 힘들다.
(다만 리테일은 꾸준히 성장하고 있기에 경쟁/정치는 당연히 심하겠지만 리테일은 비교적 기회가 많다)

한국에 있는 다른 외국계 기업들도 비슷하겠지만,
한국 특유의 직장문화와 애플 문화가 뒤엉켜 이도저도 아닌게 되었다고 할까...
(수평구조/자율적인듯 보이나 결국 위에서 하라는데로 하는 시스템)","모든직원이 프로페셔널하고 나이스함
사내 모든 업무가 투명함
실무자에게 많은 결정권이 있음",다 준비되어있는사람들이 오는 경향이 있어 성장하는 나라의 사무실이 아니면 성장기회는 거의 없음,"재택근무
무료 아침, 점심, 간식
유연 출근
스마트한 동료","최근 2번의 레이오프로 회사 분위기가 좋지않습니다
더 많은 정규직 포지션 오픈이 되면 좋겠습니다"
44,"복지 좋음
재택 근무
동료들이 대부분 착하고 친절한 편
사용자가 많은 서비스 경험 가능","개인주의라 초반 적응 힘들 수 있음
탑다운으로 진행되는 일이 많음",좋은동료들이 많음. 편하게 다니고자하면 편하게 다닐수있음,"경영진의 한탕주의, 방만힌 경영
잦은대표 교체로 대표마다 뱡향성이 달라짐","재택근무가 제일의 복지
팀바팀이긴 하지만 만족스러운팀원","현재까지는 불만없이 잘다니고있습니다
팀바팀이 좀 복불복인득",일 하는만큼 퍼포먼스가 잘 나오면 충분히 대우 받는 회사,주화입마에 빠질수 있다. 자기 세일즈도 잘 할 줄 알아야 한다,"좋은 근무환경과 친절하고 피드백 빠른 주변 동료들
나쁘지않은 급여","상위레벨에서 맥락없이 일정박아서 내려오는 탑다운 과제가 많음
누가 봐도 불가능한 일정을 밀어붙이다가 오픈직전 뒤집어지는 경우 부지기수
최근엔 전사적으로 비용절감에 대한 방향성이 커짐","업무의 자율성
복지 (휴가, 보너스, 개인의 처지에 대한 높은 배려도)
역량 평가 및 승진의 높은 빈도","업무체계의 불명확성
선별적 보상이 아닌 단체 보상 위주로 인한 상대적 박탈감","네임벨류, 훌륭한 동료들과 함께 일하며 성장할 수 있는 점",대부분의 동료들이 많은 업무량으로 야근이 잦고 워라벨을 맞추기 어려움,연령대 출신 이전직장 등 다양한 분야의 사람들이 모여 화합하는 분위기가 참 보기좋은 회사. 나와 다른 사람들에게서 배우는 점이 참 많다,쉬프트 근무가 적응하기 힘들고 감정소모가 큰 날이 많음,"함께 일하는 동료들이 일을 잘하고, 똑똑한데 인성까지 좋다
프리라이더, 정치질하는 사람이 거의 없다
직급이 올라갈 수록 일을 더 많이 하고 그만큼 권한도 책임도 더 많이 주어진다","전체적으로 과로하는 분위기가 있다
계속해서 본인의 스터닝함을 증명해야한다는 압박감이 있다",뛰어난 사람들이 많아서 자극도 많이되고 옆에서 배우게됨,해외오피스중 크게 중요한 곳은 아니라 애매한듯. 지금은 더 애매해진듯
